ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13311263,JG503434,07/29/2022 03:39:00 AM,023XX S TROY ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,true,false,1033,010,25,30,17,,,2022,04/18/2024 03:40:59 PM,,,
13053066,JG103252,01/03/2023 04:44:00 PM,039XX W WASHINGTON BLVD,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,true,false,1122,011,28,26,18,,,2023,01/20/2024 03:41:12 PM,,,
11227634,JB147599,08/26/2017 10:00:00 AM,001XX W RANDOLPH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,false,false,0122,001,42,32,02,,,2017,02/11/2018 03:57:41 PM,,,
13203321,JG415333,09/06/2023 05:00:00 PM,002XX N Wells st,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0122,001,42,32,14,1174694,1901831,2023,11/04/2023 03:40:18 PM,41.886018055,-87.633937881,"(41.886018055, -87.633937881)"
13204489,JG416325,09/06/2023 11:00:00 AM,0000X E 8TH ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0123,001,4,32,06,1176857,1896680,2023,11/04/2023 03:40:18 PM,41.871834768,-87.62615082,"(41.871834768, -87.62615082)"
11695116,JC272771,05/21/2019 08:20:00 AM,018XX S CALIFORNIA AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1023,010,25,29,05,1157982,1890961,2019,01/19/2024 03:40:50 PM,41.856547057,-87.695604526,"(41.856547057, -87.695604526)"
12419690,JE295655,07/07/2021 10:30:00 AM,132XX S GREENWOOD AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,false,false,0533,005,10,54,17,1186051,1817781,2021,01/19/2024 03:40:50 PM,41.65511579,-87.594883198,"(41.65511579, -87.594883198)"
12729745,JF279458,06/14/2022 02:47:00 PM,035XX N CENTRAL AVE,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,BANK,true,false,1633,016,30,15,03,1138391,1923142,2022,01/19/2024 03:40:50 PM,41.945232412,-87.766734668,"(41.945232412, -87.766734668)"
12835559,JF406130,09/21/2022 10:00:00 PM,004XX E 69TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER (SPECIFY),true,false,0322,003,6,69,07,1180204,1859359,2022,01/19/2024 03:40:50 PM,41.769346711,-87.615008288,"(41.769346711, -87.615008288)"
13003649,JG177593,02/22/2023 01:50:00 PM,070XX S CLYDE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - PORCH / HALLWAY,true,false,0331,003,5,43,05,1191427,1858753,2023,01/19/2024 03:40:50 PM,41.767419224,-87.573890196,"(41.767419224, -87.573890196)"
13061203,JG246126,05/03/2023 08:10:00 AM,073XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,0732,007,6,68,08B,1172570,1856234,2023,01/19/2024 03:40:50 PM,41.760942883,-87.643082808,"(41.760942883, -87.643082808)"
13256787,JG479716,12/25/2022 12:01:00 AM,055XX S ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - GARAGE,false,true,0824,008,14,63,08B,1156659,1867650,2022,01/19/2024 03:40:50 PM,41.792605624,-87.70109031,"(41.792605624, -87.70109031)"
27382,JG184406,03/13/2023 06:40:00 PM,004XX E 88TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0632,006,8,44,01A,1180808,1846737,2023,01/19/2024 03:40:50 PM,41.734696692,-87.613181581,"(41.734696692, -87.613181581)"
27547,JH119907,06/05/2023 09:15:00 PM,020XX N KIMBALL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1413,014,26,22,01A,1153376,1913502,2023,01/19/2024 03:40:50 PM,41.918494462,-87.711911917,"(41.918494462, -87.711911917)"
6255892,HP342049,05/17/2008 06:00:00 PM,101XX S LAFAYETTE AVE,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,false,false,0511,005,9,49,03,1177712,1837726,2008,01/19/2024 03:40:50 PM,41.710039855,-87.62479561,"(41.710039855, -87.62479561)"
6272641,HP358387,05/27/2008 01:00:00 AM,105XX S PERRY AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,false,true,0512,005,9,49,03,1177463,1835161,2008,01/19/2024 03:40:50 PM,41.703006756,-87.625784664,"(41.703006756, -87.625784664)"
6438609,HP496499,08/05/2008 10:37:00 PM,126XX S UNION AVE,031A,ROBBERY,ARMED - HANDGUN,SCHOOL - PUBLIC GROUNDS,false,false,0523,005,9,53,03,1173953,1821073,2008,01/19/2024 03:40:50 PM,41.664425476,-87.639053139,"(41.664425476, -87.639053139)"
6680276,HP754070,12/27/2008 08:00:00 PM,058XX N MANTON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,false,false,1622,016,39,11,05,1137225,1938474,2008,01/19/2024 03:40:50 PM,41.9873259,-87.770650405,"(41.9873259, -87.770650405)"
11662417,JC232642,04/21/2019 12:30:00 PM,009XX E 80TH ST,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,false,false,0631,006,8,44,03,1184044,1852159,2019,09/14/2023 03:41:59 PM,41.749500329,-87.6011574,"(41.749500329, -87.6011574)"
12218064,JD426642,10/30/2020 04:30:00 PM,011XX E 82ND ST,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,true,true,0411,004,8,45,02,1185144,1850850,2020,09/14/2023 03:41:59 PM,41.745882542,-87.597167639,"(41.745882542, -87.597167639)"
12342615,JE202211,04/17/2021 03:20:00 PM,081XX S PRAIRIE AVE,0325,ROBBERY,VEHICULAR HIJACKING,RESIDENCE,true,false,0631,006,6,44,03,1179448,1851073,2021,09/14/2023 03:41:59 PM,41.746626309,-87.618031954,"(41.746626309, -87.618031954)"
12416972,JE293535,10/01/2020 12:01:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,false,true,0923,009,14,63,02,,,2020,09/14/2023 03:41:59 PM,,,
12536164,JE439378,09/24/2015 12:00:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,false,true,0923,009,14,63,02,,,2015,09/14/2023 03:41:59 PM,,,
12536166,JE439332,09/07/2014 12:00:00 AM,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,false,true,0923,009,14,63,02,,,2014,09/14/2023 03:41:59 PM,,,
12592454,JF113025,01/14/2022 03:55:00 PM,067XX S MORGAN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,0724,007,16,68,26,1170805,1860170,2022,09/14/2023 03:41:59 PM,41.771782439,-87.649436929,"(41.771782439, -87.649436929)"
12601676,JF124024,01/13/2022 04:00:00 PM,031XX W AUGUSTA BLVD,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,true,1211,012,36,23,17,1155171,1906486,2022,09/14/2023 03:41:59 PM,41.899206068,-87.705505587,"(41.899206068, -87.705505587)"
12785595,JF346553,08/05/2022 09:00:00 PM,072XX S UNIVERSITY AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,true,false,0324,003,5,69,17,1185135,1857211,2022,09/14/2023 03:41:59 PM,41.763337967,-87.597001131,"(41.763337967, -87.597001131)"
12808281,JF373517,08/14/2022 02:00:00 PM,055XX W ARDMORE AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,1621,016,39,11,17,1138383,1937953,2022,09/14/2023 03:41:59 PM,41.985875279,-87.766403857,"(41.985875279, -87.766403857)"
12829020,JF398208,01/01/2015 12:01:00 AM,080XX S WOOD ST,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,0611,006,17,71,02,,,2015,09/14/2023 03:41:59 PM,,,
12888104,JF469015,11/10/2022 03:47:00 AM,072XX S MAY ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,false,false,0733,007,17,68,15,1169903,1856822,2022,09/14/2023 03:41:59 PM,41.76261474,-87.652840463,"(41.76261474, -87.652840463)"
12914647,JF500216,07/10/2013 12:00:00 AM,046XX S SAWYER AVE,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,false,true,0821,008,12,58,02,,,2013,09/14/2023 03:41:59 PM,,,
12978205,JG146937,08/01/2022 10:00:00 PM,028XX S KEELER AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,false,true,1031,010,22,30,17,,,2022,09/14/2023 03:41:59 PM,,,
12990873,JG161829,08/17/2019 01:14:00 PM,008XX N KARLOV AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,true,true,1111,011,37,23,17,1148899,1905351,2019,09/14/2023 03:41:59 PM,41.89621515,-87.728572048,"(41.89621515, -87.728572048)"
13041906,JG203447,10/15/2022 01:30:00 AM,051XX W WRIGHTWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2521,025,31,19,08B,,,2022,09/14/2023 03:41:59 PM,,,
13045102,JG226663,03/30/2023 09:16:00 AM,080XX S DREXEL AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,false,true,0631,006,8,44,17,1183631,1851847,2023,09/14/2023 03:41:59 PM,41.748653803,-87.602680492,"(41.748653803, -87.602680492)"
13074891,JG262771,05/10/2023 12:43:00 PM,028XX N MANGO AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,false,true,2514,025,30,19,02,1137557,1918320,2023,09/14/2023 03:41:59 PM,41.932015426,-87.769916668,"(41.932015426, -87.769916668)"
13099339,JG291745,04/01/2023 11:13:00 AM,020XX N LAPORTE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,true,2522,025,26,19,17,1143059,1913090,2023,09/14/2023 03:41:59 PM,41.917562778,-87.749828117,"(41.917562778, -87.749828117)"
13121127,JG313964,06/22/2023 06:52:00 PM,015XX W NORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,AUTO / BOAT / RV DEALERSHIP,true,false,1433,014,1,24,11,1165854,1910738,2023,09/14/2023 03:41:59 PM,41.91065261,-87.66614577,"(41.91065261, -87.66614577)"
12955336,JG119661,11/16/2022 10:23:00 AM,087XX S KINGSTON AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,false,true,0423,004,7,46,17,1194660,1847481,2022,11/15/2023 03:41:31 PM,41.736409029,-87.562410309,"(41.736409029, -87.562410309)"
13210072,JG422242,08/11/2023 11:00:00 AM,0000X S ALBANY AVE,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,RESIDENCE,false,true,1124,011,28,27,26,1155914,1899709,2023,09/16/2023 03:41:56 PM,41.880594385,-87.702959421,"(41.880594385, -87.702959421)"
13124701,JG321999,06/30/2023 04:00:00 AM,007XX E 111TH ST,0583,STALKING,CYBERSTALKING,POLICE FACILITY / VEHICLE PARKING LOT,true,false,0531,005,9,50,08A,1183356,1831503,2023,09/14/2023 03:41:59 PM,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
13125020,JG320649,05/15/2015 12:00:00 AM,041XX W 24TH PL,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,true,true,1013,010,22,30,17,,,2015,09/14/2023 03:41:59 PM,,,
13129199,JG327622,07/04/2023 05:30:00 PM,047XX S CALUMET AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0224,002,3,38,07,1179230,1873766,2023,09/14/2023 03:41:59 PM,41.80890316,-87.618139193,"(41.80890316, -87.618139193)"
13158716,JG362691,11/09/2018 12:00:00 AM,017XX N NASHVILLE AVE,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,false,false,2513,025,29,25,02,1132147,1910836,2018,09/14/2023 03:41:59 PM,41.911574252,-87.789972279,"(41.911574252, -87.789972279)"
13176001,JG382803,02/01/2023 02:00:00 PM,058XX S MICHIGAN AVE,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,true,true,0232,002,20,40,17,1178158,1866236,2023,09/14/2023 03:41:59 PM,41.788264552,-87.62229949,"(41.788264552, -87.62229949)"
13179181,JG386523,08/17/2023 03:15:00 PM,020XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1431,014,1,22,06,1159682,1913243,2023,09/14/2023 03:41:59 PM,41.917656022,-87.688750258,"(41.917656022, -87.688750258)"
13179344,JG386917,08/17/2023 07:25:00 PM,030XX N ELBRIDGE AVE,0860,THEFT,RETAIL THEFT,STREET,true,false,1412,014,35,21,06,1152158,1919830,2023,09/14/2023 03:41:59 PM,41.935883156,-87.716219645,"(41.935883156, -87.716219645)"
13181797,JG389859,08/20/2023 04:30:00 AM,020XX N LEAMINGTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,2522,025,36,19,14,1141753,1913164,2023,09/14/2023 03:41:59 PM,41.917790125,-87.754624625,"(41.917790125, -87.754624625)"
13181885,JG389920,08/20/2023 06:00:00 AM,020XX N LECLAIRE AVE,0820,THEFT,$500 AND UNDER,STREET,true,true,2522,025,26,19,06,1142089,1913063,2023,09/14/2023 03:41:59 PM,41.917506742,-87.753392641,"(41.917506742, -87.753392641)"
13183042,JG391309,08/21/2023 07:28:00 AM,016XX N WASHTENAW AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT / GROUNDS,true,false,1421,014,26,24,26,1158119,1910792,2023,09/14/2023 03:41:59 PM,41.910962378,-87.694559852,"(41.910962378, -87.694559852)"
13183567,JG392073,08/21/2023 02:37:00 PM,022XX N LEAMINGTON AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,true,false,2522,025,26,19,11,1141688,1914409,2023,09/14/2023 03:41:59 PM,41.921207741,-87.754832585,"(41.921207741, -87.754832585)"
13184491,JG393031,08/22/2023 11:44:00 AM,026XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1432,014,32,22,06,1160867,1917657,2023,09/14/2023 03:41:59 PM,41.929743818,-87.684273777,"(41.929743818, -87.684273777)"
13187048,JG395977,08/24/2023 04:07:00 PM,016XX W DIVISION ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1424,014,1,24,06,1164808,1908052,2023,09/14/2023 03:41:59 PM,41.903304304,-87.670064675,"(41.903304304, -87.670064675)"
13188119,JG397237,05/15/2015 12:00:00 AM,041XX W 24TH PL,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,true,true,1013,010,22,30,02,,,2015,09/14/2023 03:41:59 PM,,,
13188630,JG398002,08/26/2023 02:15:00 AM,047XX W FULLERTON AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,true,false,2522,025,31,19,26,1144183,1915534,2023,09/14/2023 03:41:59 PM,41.924248302,-87.745636923,"(41.924248302, -87.745636923)"
13189104,JG398575,08/26/2023 01:43:00 PM,050XX N PULASKI RD,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1712,017,39,14,06,1148820,1933099,2023,09/14/2023 03:41:59 PM,41.972359593,-87.728142793,"(41.972359593, -87.728142793)"
13189895,JG399264,08/27/2023 01:16:00 AM,048XX N KIMBALL AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,true,false,1712,017,33,14,08B,1152841,1931987,2023,09/14/2023 03:41:59 PM,41.969229299,-87.713386363,"(41.969229299, -87.713386363)"
13190165,JG399731,08/27/2023 11:58:00 AM,025XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,APPLIANCE STORE,true,false,1432,014,32,22,06,1161467,1917112,2023,09/14/2023 03:41:59 PM,41.928235818,-87.682084152,"(41.928235818, -87.682084152)"
13190179,JG399829,08/27/2023 01:16:00 PM,032XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1422,014,26,23,06,1154551,1910454,2023,09/14/2023 03:41:59 PM,41.910107045,-87.707676543,"(41.910107045, -87.707676543)"
13190936,JG400683,08/27/2023 10:00:00 PM,072XX S AVERS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0833,008,23,65,07,1151953,1856354,2023,09/14/2023 03:41:59 PM,41.761701305,-87.718642841,"(41.761701305, -87.718642841)"
13190943,JG400635,08/28/2023 06:23:00 AM,027XX N NARRAGANSETT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),true,false,2512,025,36,19,14,1133273,1917606,2023,09/14/2023 03:41:59 PM,41.9301323,-87.785676799,"(41.9301323, -87.785676799)"
